,W,Sm,Mo,Zr,Ca,V,Hf,Pd,Cr,La,Gd,Ir,Tb,Yb,Al,Eu,Zn,Dy,Nb,Lu,Ba,Co,Li,Cd,Ho,Ce,Rh,Sc,Y,Ti,Bi,Tm,Ag,Sn,Ga,Cu,Pt,Mn,Ta,Pb,Nd,Er,Pr,Ni,Re,In,Fe,Mg,Ru,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
9027,0.10199999999999998,0.0,0.09799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,W0.102 Mo0.098 Ru0.8,42.0,74.0,32.0,46.864000000000004,5.535744000000003,44.0,50.0,56.0,6.0,54.902,1.7567999999999993,56.0,95.96,183.84,87.88000000000001,109.01175999999998,15.264960959999991,101.07,2607.0,3695.0,1088.0,2746.298,222.87679999999986,2607.0,6.0,8.0,2.0,7.6,0.6400000000000001,8.0,5.0,6.0,1.0,5.102,0.18319200000000024,5.0,146.0,162.0,16.0,148.416,3.865599999999998,146.0,2.16,2.36,0.19999999999999973,2.2124,0.030110399999999943,2.2,1.0,2.0,1.0,1.1019999999999999,0.18319199999999988,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,6.498,0.8031999999999998,7.0,0.0,14.0,14.0,1.4279999999999997,2.564688,0.0,6.0,20.0,14.0,9.028,2.2382880000000003,8.0,0.0,1.0,1.0,0.898,0.18319199999999997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,3.5020000000000002,0.8032,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,4.4,0.6400000000000001,4.0,13.51,16.05,2.540000000000001,13.98272,0.7563520000000004,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,201.0,11.2,194.0
87,0.17999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.8,W0.18 Re0.02 Ru0.8,44.0,75.0,31.0,50.019999999999996,9.631999999999998,44.0,51.0,56.0,5.0,55.06,1.5039999999999984,56.0,101.07,186.207,85.137,117.67133999999999,26.562143999999996,101.07,2607.0,3695.0,1088.0,2819.8799999999997,340.6079999999998,2607.0,6.0,8.0,2.0,7.62,0.6079999999999999,8.0,5.0,6.0,1.0,5.199999999999999,0.31999999999999956,5.0,146.0,162.0,16.0,148.98000000000002,4.7680000000000105,146.0,1.9,2.36,0.45999999999999996,2.2228000000000003,0.04939200000000005,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,6.42,0.9279999999999999,7.0,0.0,14.0,14.0,2.7999999999999994,4.48,0.0,8.0,21.0,13.0,10.42,3.872,8.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,3.58,0.9279999999999999,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,4.38,0.6079999999999999,4.0,13.51,16.05,2.540000000000001,13.9901,0.7681600000000002,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,200.3,10.332000000000008,194.0
9074,0.09799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,W0.098 Rh0.102 Ru0.8,44.0,74.0,30.0,47.042,5.283768000000001,44.0,51.0,59.0,8.0,55.816,0.9439359999999979,56.0,101.07,183.84,82.77000000000001,109.36868099999998,14.596378523999988,101.07,2237.0,3695.0,1458.0,2675.884,199.74673599999997,2607.0,6.0,9.0,3.0,7.906000000000001,0.3735759999999995,8.0,5.0,6.0,1.0,5.098,0.1767919999999999,5.0,142.0,162.0,20.0,147.16,2.908639999999997,146.0,2.2,2.36,0.1599999999999997,2.22384,0.038143999999999845,2.2,1.0,2.0,1.0,1.0979999999999999,0.1767919999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,6.808,0.5503680000000001,7.0,0.0,14.0,14.0,1.3719999999999999,2.475088,0.0,8.0,20.0,12.0,9.278,2.1015120000000005,8.0,0.0,1.0,1.0,0.902,0.17679199999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,3.192,0.5503680000000001,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.094,0.37357600000000024,4.0,13.51,16.05,2.540000000000001,13.772179999999999,0.44645271999999914,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,200.592,10.547200000000007,194.0
2069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.8,Sn0.18 In0.02 Ru0.8,44.0,50.0,6.0,45.18,1.888,44.0,56.0,80.0,24.0,60.7,7.520000000000001,56.0,101.07,118.71,17.64,104.52015999999999,5.520255999999998,101.07,429.75,2607.0,2177.25,2185.1094,675.0249600000001,2607.0,8.0,14.0,6.0,9.18,1.888,8.0,5.0,5.0,0.0,5.0,0.0,5.0,139.0,146.0,7.0,144.66,2.144000000000002,146.0,1.78,2.2,0.42000000000000015,2.1484,0.08256000000000009,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,2.0,2.0,0.37999999999999995,0.608,0.0,7.0,10.0,3.0,7.6,0.9599999999999997,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,6.0,9.18,1.888,8.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,5.0,5.0,0.8199999999999998,1.3119999999999998,0.0,0.0,3.0,3.0,2.4000000000000004,0.9599999999999997,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.02,0.03919999999999959,4.0,13.51,33.285,19.775,17.284499999999998,6.0391999999999975,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,194.0,55.0,183.36,17.023999999999994,194.0
2156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.17999999999999997,0.0,0.0,0.0,0.0,0.8,Mn0.02 Ni0.18 Ru0.8,25.0,44.0,19.0,40.74,5.215999999999999,44.0,52.0,61.0,9.0,56.82,1.5048,56.0,54.938045,101.07,46.13195499999999,92.51957289999999,13.680683360000003,101.07,1519.0,2607.0,1088.0,2427.02,287.96799999999996,2607.0,7.0,10.0,3.0,8.34,0.5975999999999999,8.0,4.0,5.0,1.0,4.8,0.32000000000000006,5.0,124.0,146.0,22.0,141.9,6.559999999999997,146.0,1.55,2.2,0.6500000000000001,2.1348000000000003,0.10432,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,7.140000000000001,0.3096000000000003,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,3.0,8.34,0.5975999999999999,8.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.8600000000000003,0.30959999999999976,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.66,0.5975999999999999,4.0,10.32,13.51,3.1899999999999995,12.875351724138,1.0154372413792,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.10717724841379309,0.17575828257103449,0.0,194.0,225.0,31.0,200.04000000000002,9.664000000000012,194.0
9058,0.09799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,W0.098 Nb0.102 Ru0.8,41.0,74.0,33.0,46.634,5.363735999999999,44.0,47.0,56.0,9.0,54.592,2.2528000000000006,56.0,92.90638,183.84,90.93362,108.34877076,14.796280931039998,101.07,2607.0,3695.0,1088.0,2728.21,193.936,2607.0,5.0,8.0,3.0,7.498,0.8031999999999998,8.0,5.0,6.0,1.0,5.098,0.1767919999999999,5.0,146.0,164.0,18.0,149.404,5.446399999999997,146.0,1.6,2.36,0.7599999999999998,2.1544800000000004,0.11311391999999978,2.2,1.0,2.0,1.0,1.0979999999999999,0.1767919999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,6.4,0.9599999999999997,7.0,0.0,14.0,14.0,1.3719999999999999,2.475088,0.0,5.0,20.0,15.0,8.870000000000001,2.1814800000000005,8.0,0.0,1.0,1.0,0.902,0.17679199999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,3.6,0.96,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,4.502,0.8031999999999998,4.0,13.51,18.18,4.67,14.23526,1.1604160000000003,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,201.0,11.2,194.0
1674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,Cd0.02 Sn0.18 Ru0.8,44.0,50.0,6.0,45.16,1.8559999999999977,44.0,56.0,80.0,24.0,60.6,7.36,56.0,101.07,118.71,17.64,104.47201999999999,5.4432319999999965,101.07,505.08,2607.0,2101.92,2188.3988,669.76192,2607.0,8.0,14.0,6.0,9.16,1.8559999999999999,8.0,5.0,5.0,0.0,5.0,0.0,5.0,139.0,146.0,7.0,144.70000000000002,2.0799999999999894,146.0,1.69,2.2,0.5100000000000002,2.1466000000000003,0.08543999999999996,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,2.0,2.0,0.35999999999999993,0.5903999999999999,0.0,7.0,10.0,3.0,7.6,0.9599999999999997,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,6.0,9.16,1.8559999999999999,8.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,4.0,4.0,0.7199999999999999,1.1807999999999998,0.0,0.0,3.0,3.0,2.4000000000000004,0.9599999999999997,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.92,0.15680000000000005,4.0,13.51,33.285,19.775,17.1892,5.886719999999999,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,194.0,53.0,184.46,15.645599999999995,194.0
