,W,Sm,Mo,Zr,Ca,V,Hf,Pd,Cr,La,Gd,Ir,Tb,Yb,Al,Eu,Zn,Dy,Nb,Lu,Ba,Co,Li,Cd,Ho,Ce,Rh,Sc,Y,Ti,Bi,Tm,Ag,Sn,Ga,Cu,Pt,Mn,Ta,Pb,Nd,Er,Pr,Ni,Re,In,Fe,Mg,Ru,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
9027,0.10199999999999998,0.0,0.09799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,W0.102 Mo0.098 Ru0.8,42.0,74.0,32.0,46.864000000000004,5.535744000000003,44.0,50.0,56.0,6.0,54.902,1.7567999999999993,56.0,95.96,183.84,87.88000000000001,109.01175999999998,15.264960959999991,101.07,2607.0,3695.0,1088.0,2746.298,222.87679999999986,2607.0,6.0,8.0,2.0,7.6,0.6400000000000001,8.0,5.0,6.0,1.0,5.102,0.18319200000000024,5.0,146.0,162.0,16.0,148.416,3.865599999999998,146.0,2.16,2.36,0.19999999999999973,2.2124,0.030110399999999943,2.2,1.0,2.0,1.0,1.1019999999999999,0.18319199999999988,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,6.498,0.8031999999999998,7.0,0.0,14.0,14.0,1.4279999999999997,2.564688,0.0,6.0,20.0,14.0,9.028,2.2382880000000003,8.0,0.0,1.0,1.0,0.898,0.18319199999999997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,3.5020000000000002,0.8032,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,4.4,0.6400000000000001,4.0,13.51,16.05,2.540000000000001,13.98272,0.7563520000000004,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,201.0,11.2,194.0
986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17999999999999997,0.0,0.0,0.0,0.0,0.8,Ir0.02 Ni0.18 Ru0.8,28.0,77.0,49.0,41.78,4.960799999999999,44.0,56.0,61.0,5.0,56.980000000000004,1.5680000000000023,56.0,58.6934,192.217,133.52360000000002,95.265152,13.165830719999992,101.07,1728.0,2739.0,1011.0,2451.42,260.43119999999993,2607.0,8.0,10.0,2.0,8.379999999999999,0.6079999999999994,8.0,4.0,6.0,2.0,4.84,0.30240000000000006,5.0,124.0,146.0,22.0,141.94,6.496000000000001,146.0,1.91,2.2,0.29000000000000026,2.1478,0.08560800000000006,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,1.0,7.18,0.2951999999999998,7.0,0.0,14.0,14.0,0.27999999999999997,0.5488,0.0,8.0,23.0,15.0,8.66,1.056,8.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.8200000000000003,0.2951999999999998,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.62,0.6079999999999999,4.0,10.32,14.21,3.8900000000000006,12.9498,0.9467279999999999,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.10717104599999999,0.17576051544,0.0,194.0,225.0,31.0,200.20000000000002,9.920000000000009,194.0
666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,Pd0.02 Sn0.18 Ru0.8,44.0,50.0,6.0,45.120000000000005,1.7920000000000025,44.0,56.0,80.0,24.0,60.44,7.103999999999998,56.0,101.07,118.71,17.64,104.35219999999998,5.251519999999993,101.07,505.08,2607.0,2101.92,2213.0753999999997,630.2793600000002,2607.0,8.0,14.0,6.0,9.120000000000001,1.7920000000000003,8.0,5.0,5.0,0.0,5.0,0.0,5.0,139.0,146.0,7.0,144.60000000000002,2.2399999999999864,146.0,1.96,2.2,0.2400000000000002,2.1568,0.07084800000000012,2.2,0.0,2.0,2.0,1.16,0.3023999999999999,1.0,0.0,2.0,2.0,0.35999999999999993,0.5903999999999999,0.0,7.0,10.0,3.0,7.6,0.9599999999999997,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,6.0,9.120000000000001,1.7920000000000003,8.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,4.0,4.0,0.7199999999999999,1.1807999999999998,0.0,0.0,3.0,3.0,2.4000000000000004,0.9599999999999997,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.92,0.15680000000000005,4.0,13.51,33.285,19.775,17.0875,5.831099999999998,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,225.0,84.0,185.08,15.868799999999991,194.0
75,0.17999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,W0.18 Ta0.02 Ru0.8,44.0,74.0,30.0,49.98,9.567999999999998,44.0,48.0,56.0,8.0,54.94,1.6960000000000013,56.0,101.07,183.84,82.77000000000001,117.5661576,26.39385216,101.07,2607.0,3695.0,1088.0,2816.5,335.2,2607.0,5.0,8.0,3.0,7.58,0.6719999999999999,8.0,5.0,6.0,1.0,5.199999999999999,0.31999999999999956,5.0,146.0,170.0,24.0,149.36,5.376000000000008,146.0,1.5,2.36,0.8599999999999999,2.2148000000000003,0.05227200000000004,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,6.380000000000001,0.9919999999999994,7.0,0.0,14.0,14.0,2.7999999999999994,4.48,0.0,8.0,20.0,12.0,10.379999999999999,3.807999999999999,8.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,3.62,0.992,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,4.42,0.6719999999999999,4.0,13.51,18.12,4.610000000000001,14.0594,0.8790400000000003,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,201.0,11.2,194.0
2190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.17999999999999997,0.0,0.0,0.0,0.0,0.8,Pb0.02 Ni0.18 Ru0.8,28.0,82.0,54.0,41.88,4.996799999999998,44.0,56.0,81.0,25.0,57.400000000000006,2.240000000000003,56.0,58.6934,207.2,148.5066,95.56481199999999,13.27370832,101.07,600.61,2607.0,2006.3899999999999,2408.6522,317.35648,2607.0,8.0,14.0,6.0,8.48,0.7680000000000001,8.0,4.0,6.0,2.0,4.84,0.30240000000000006,5.0,124.0,146.0,22.0,142.04000000000002,6.494399999999986,146.0,1.91,2.33,0.42000000000000015,2.1504000000000003,0.08654399999999995,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,2.0,2.0,0.039999999999999994,0.07839999999999998,0.0,7.0,10.0,3.0,7.24,0.38400000000000006,7.0,0.0,14.0,14.0,0.27999999999999997,0.5488,0.0,8.0,28.0,20.0,8.76,1.2159999999999997,8.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,4.0,4.0,0.07999999999999999,0.15679999999999997,0.0,0.0,3.0,3.0,2.7600000000000002,0.38399999999999984,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.64,0.5903999999999998,4.0,10.32,28.11,17.79,13.227799999999998,1.0468080000000006,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.10717104599999999,0.17576051544,0.0,194.0,225.0,31.0,200.20000000000002,9.920000000000009,194.0
1558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.17999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,Co0.02 Ho0.18 Ru0.8,27.0,67.0,40.0,47.8,6.911999999999997,44.0,33.0,58.0,25.0,51.900000000000006,6.803999999999997,56.0,58.933195,164.93032,105.997125,111.72212149999999,19.154951459999992,101.07,1747.0,2607.0,860.0,2435.42,274.5279999999999,2607.0,3.0,9.0,6.0,7.12,1.4831999999999999,8.0,4.0,6.0,2.0,5.16,0.30240000000000006,5.0,126.0,192.0,66.0,153.88,13.723199999999995,146.0,1.23,2.2,0.9700000000000002,2.019,0.2896000000000001,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5.74,2.0664,7.0,0.0,11.0,11.0,1.9799999999999995,3.2471999999999994,0.0,8.0,13.0,5.0,8.92,1.472,8.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.4600000000000004,0.8855999999999997,3.0,0.0,3.0,3.0,0.5399999999999999,0.8855999999999998,0.0,3.0,4.0,1.0,3.8,0.32000000000000006,4.0,10.245,30.7333333333,20.488333333299998,16.544899999993998,5.107835999990159,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.030969423999999995,0.06070007104,0.0,194.0,194.0,0.0,194.0,0.0,194.0
86,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17999999999999997,0.0,0.0,0.0,0.8,W0.02 Re0.18 Ru0.8,44.0,75.0,31.0,50.18,9.887999999999998,44.0,51.0,56.0,5.0,55.540000000000006,0.7359999999999962,56.0,101.07,186.207,85.137,118.05005999999999,27.16809599999999,101.07,2607.0,3695.0,1088.0,2782.12,280.1919999999999,2607.0,6.0,8.0,2.0,7.78,0.35199999999999987,8.0,5.0,6.0,1.0,5.199999999999999,0.31999999999999956,5.0,146.0,162.0,16.0,147.22,1.951999999999999,146.0,1.9,2.36,0.45999999999999996,2.1492,0.08971200000000015,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,6.58,0.6719999999999999,7.0,0.0,14.0,14.0,2.7999999999999994,4.48,0.0,8.0,21.0,13.0,10.58,4.128,8.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,3.42,0.6719999999999999,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,4.22,0.35199999999999987,4.0,13.51,16.05,2.540000000000001,13.7669,0.41103999999999985,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,194.70000000000002,1.3720000000000163,194.0
