,Tm,Co,V,Cr,Gd,Nd,Y,Rh,Tb,Er,In,Sn,W,Ce,Yb,Ir,La,Ta,Ga,Mn,Zn,Pd,Ba,Ho,Mo,Lu,Fe,Ag,Sc,Ti,Cd,Dy,Pt,Pr,Ca,Ni,Re,Nb,Li,Al,Bi,Eu,Zr,Cu,Hf,Sm,Mg,Pb,Ru,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
0,0.07999999999999999,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,Tm0.08 Co0.12 Ru0.8,27.0,69.0,42.0,43.96,4.0703999999999985,44.0,37.0,58.0,21.0,54.720000000000006,2.835199999999995,56.0,58.933195,168.93421,110.00101500000001,101.4427202,10.798638368000002,101.07,1768.0,2607.0,839.0,2443.2,262.08000000000015,2607.0,3.0,9.0,6.0,7.720000000000001,0.7551999999999994,8.0,4.0,6.0,2.0,4.96,0.23040000000000002,5.0,126.0,190.0,64.0,147.12,6.860800000000004,146.0,1.25,2.2,0.9500000000000002,2.0856000000000003,0.18303999999999995,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.44,1.0303999999999998,7.0,0.0,13.0,13.0,1.0399999999999998,1.9135999999999997,0.0,8.0,15.0,7.0,8.68,1.0879999999999996,8.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.7600000000000002,0.44159999999999977,3.0,0.0,1.0,1.0,0.07999999999999999,0.1472,0.0,1.0,4.0,3.0,3.64,0.5759999999999998,4.0,10.245,29.78,19.535000000000004,14.419799999999999,2.457631999999999,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.185816544,0.32703711744,0.0,194.0,194.0,0.0,194.0,0.0,194.0
6681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17999999999999997,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,Li0.18 Bi0.02 Ru0.8,3.0,83.0,80.0,37.400000000000006,12.383999999999997,44.0,1.0,86.0,85.0,46.7,16.451999999999998,56.0,6.941,208.9804,202.0394,86.284988,28.56383567999999,101.07,453.69,2607.0,2153.31,2178.1522,686.15648,2607.0,1.0,15.0,14.0,6.88,2.1167999999999996,8.0,2.0,6.0,4.0,4.4799999999999995,0.8928000000000003,5.0,128.0,148.0,20.0,142.8,5.327999999999992,146.0,0.98,2.2,1.2200000000000002,1.9768000000000001,0.35884800000000006,2.2,1.0,2.0,1.0,1.02,0.03920000000000001,1.0,0.0,3.0,3.0,0.05999999999999999,0.11759999999999998,0.0,0.0,10.0,10.0,5.800000000000001,2.0879999999999996,7.0,0.0,14.0,14.0,0.27999999999999997,0.5488,0.0,1.0,29.0,28.0,7.16,2.2175999999999996,8.0,0.0,1.0,1.0,0.98,0.03920000000000001,1.0,0.0,3.0,3.0,0.05999999999999999,0.11759999999999998,0.0,0.0,3.0,3.0,2.4000000000000004,0.9599999999999997,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.44,0.8959999999999999,4.0,13.51,32.95,19.440000000000005,14.453799999993999,1.510079999990399,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,196.66000000000003,11.642400000000015,194.0
5154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,Rh0.02 Pd0.18 Ru0.8,44.0,46.0,2.0,44.38,0.6080000000000014,44.0,56.0,62.0,6.0,57.14,1.8240000000000003,56.0,101.07,106.42,5.3500000000000085,102.06970999999999,1.5995359999999976,101.07,1828.05,2607.0,778.95,2459.3889999999997,236.1776000000002,2607.0,8.0,10.0,2.0,8.379999999999999,0.6079999999999994,8.0,5.0,5.0,0.0,5.0,0.0,5.0,139.0,146.0,7.0,144.66,2.144000000000002,146.0,2.2,2.28,0.07999999999999963,2.2016,0.003135999999999823,2.2,0.0,1.0,1.0,0.8200000000000001,0.2951999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,3.0,7.5600000000000005,0.8960000000000001,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,2.0,8.379999999999999,0.6079999999999994,8.0,0.0,1.0,1.0,0.8200000000000001,0.2951999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.4400000000000004,0.8959999999999997,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.2600000000000002,1.1839999999999997,4.0,13.51,14.41,0.9000000000000004,13.6746,0.2647440000000001,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,200.20000000000002,9.920000000000009,194.0
5493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,Sn0.18 Bi0.02 Ru0.8,44.0,83.0,39.0,45.86,2.9759999999999995,44.0,56.0,86.0,30.0,60.92,7.872000000000001,56.0,101.07,208.9804,107.91040000000001,106.40340799999998,8.533452799999996,101.07,505.08,2607.0,2101.92,2187.4024,671.35616,2607.0,8.0,15.0,7.0,9.219999999999999,1.951999999999999,8.0,5.0,6.0,1.0,5.02,0.03919999999999959,5.0,139.0,148.0,9.0,144.78,2.080799999999999,146.0,1.96,2.2,0.2400000000000002,2.1532,0.07488000000000014,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,3.0,3.0,0.41999999999999993,0.6719999999999999,0.0,7.0,10.0,3.0,7.6,0.9599999999999997,7.0,0.0,14.0,14.0,0.27999999999999997,0.5488,0.0,8.0,29.0,21.0,9.5,2.4,8.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,4.0,4.0,0.7799999999999998,1.2479999999999998,0.0,0.0,3.0,3.0,2.4000000000000004,0.9599999999999997,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,3.98,0.03920000000000001,4.0,13.51,33.285,19.775,17.458299999999998,6.317279999999998,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,180.82000000000002,21.087999999999987,194.0
5724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.17999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,Ir0.02 Ba0.18 Ru0.8,44.0,77.0,33.0,46.82,4.512,44.0,9.0,60.0,51.0,47.620000000000005,13.903199999999996,56.0,101.07,192.217,91.14700000000002,109.41919999999999,13.358719999999998,101.07,1000.0,2739.0,1739.0,2320.38,475.3367999999999,2607.0,2.0,9.0,7.0,6.94,1.7783999999999995,8.0,5.0,6.0,1.0,5.199999999999999,0.31999999999999956,5.0,141.0,215.0,74.0,158.32,20.404799999999994,146.0,0.89,2.2,1.31,1.9642000000000002,0.38671200000000006,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5.74,2.0664,7.0,0.0,14.0,14.0,0.27999999999999997,0.5488,0.0,2.0,23.0,21.0,7.220000000000001,1.8791999999999995,8.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.4600000000000004,0.8855999999999997,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.2600000000000002,1.1839999999999997,4.0,13.51,63.59,50.080000000000005,22.5384,14.778576,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,200.92000000000002,11.072000000000008,194.0
