,W,Sm,Mo,Zr,Ca,V,Hf,Pd,Cr,La,Gd,Ir,Tb,Yb,Al,Eu,Zn,Dy,Nb,Lu,Ba,Co,Li,Cd,Ho,Ce,Rh,Sc,Y,Ti,Bi,Tm,Ag,Sn,Ga,Cu,Pt,Mn,Ta,Pb,Nd,Er,Pr,Ni,Re,In,Fe,Mg,Ru,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
1674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,Cd0.03 Sn0.27 Ru0.7,44.0,50.0,6.0,45.74,2.436000000000001,44.0,56.0,80.0,24.0,62.900000000000006,9.660000000000004,56.0,101.07,118.71,17.64,106.17303,7.144242000000002,101.07,505.08,2607.0,2101.92,1979.0982,879.0625200000002,2607.0,8.0,14.0,6.0,9.740000000000002,2.436000000000001,8.0,5.0,5.0,0.0,5.0,0.0,5.0,139.0,146.0,7.0,144.05,2.729999999999996,146.0,1.69,2.2,0.5100000000000002,2.1199000000000003,0.11214000000000002,2.2,1.0,2.0,1.0,1.3000000000000003,0.42000000000000015,1.0,0.0,2.0,2.0,0.5400000000000001,0.7884000000000002,0.0,7.0,10.0,3.0,7.9,1.2600000000000002,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,6.0,9.740000000000002,2.436000000000001,8.0,0.0,1.0,1.0,0.7,0.42000000000000004,1.0,0.0,4.0,4.0,1.0800000000000003,1.5768000000000004,0.0,0.0,3.0,3.0,2.0999999999999996,1.2600000000000002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.88,0.23280000000000012,4.0,13.51,33.285,19.775,19.0288,7.72632,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,194.0,53.0,179.69,20.8926,194.0
87,0.2700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030000000000000006,0.0,0.0,0.0,0.7,W0.27 Re0.03 Ru0.7,44.0,75.0,31.0,53.03,12.642000000000003,44.0,51.0,56.0,5.0,54.59,1.9739999999999989,56.0,101.07,186.207,85.137,125.97201000000001,34.862814000000014,101.07,2607.0,3695.0,1088.0,2926.32,447.0480000000001,2607.0,6.0,8.0,2.0,7.43,0.7980000000000003,8.0,5.0,6.0,1.0,5.300000000000001,0.4200000000000004,5.0,146.0,162.0,16.0,150.47,6.258000000000001,146.0,1.9,2.36,0.45999999999999996,2.2342000000000004,0.06793200000000003,2.2,1.0,2.0,1.0,1.3000000000000003,0.42000000000000015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,6.13,1.2180000000000002,7.0,0.0,14.0,14.0,4.200000000000001,5.880000000000001,0.0,8.0,21.0,13.0,11.63,5.082000000000001,8.0,0.0,1.0,1.0,0.7,0.42000000000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,3.87,1.2180000000000002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,4.57,0.7980000000000003,4.0,13.51,16.05,2.540000000000001,14.230150000000002,1.0082100000000014,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,203.45,13.796999999999997,194.0
1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,Co0.03 Mn0.27 Ru0.7,25.0,44.0,19.0,38.36,7.896000000000001,44.0,52.0,58.0,6.0,54.980000000000004,1.6091999999999984,56.0,54.938045,101.07,46.13195499999999,87.350268,19.207624799999998,101.07,1519.0,2607.0,1088.0,2288.07,446.50199999999995,2607.0,7.0,9.0,2.0,7.76,0.41040000000000015,8.0,4.0,5.0,1.0,4.7,0.42,5.0,126.0,146.0,20.0,143.51,3.486000000000004,146.0,1.55,2.2,0.6500000000000001,2.0149000000000004,0.25914000000000004,2.2,1.0,2.0,1.0,1.3000000000000003,0.42000000000000015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,6.46,0.7884000000000001,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,2.0,7.76,0.41040000000000015,8.0,0.0,1.0,1.0,0.7,0.42000000000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,3.54,0.7884000000000001,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.24,0.41040000000000015,4.0,10.245,13.51,3.2650000000000006,12.595998275863,1.2796024137918,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.046537868586206864,0.09011599988482763,0.0,194.0,217.0,23.0,200.21,9.066600000000005,194.0
4514,0.09000000000000002,0.0,0.21000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,W0.09 Mo0.21 Ru0.7,42.0,74.0,32.0,46.28,4.989600000000002,44.0,50.0,56.0,6.0,54.29,2.3940000000000006,56.0,95.96,183.84,87.88000000000001,107.4462,13.750884000000012,101.07,2607.0,3695.0,1088.0,2765.61,222.0540000000001,2607.0,6.0,8.0,2.0,7.4,0.8399999999999999,8.0,5.0,6.0,1.0,5.09,0.1637999999999999,5.0,146.0,162.0,16.0,149.12,4.368000000000002,146.0,2.16,2.36,0.19999999999999973,2.2060000000000004,0.02772000000000017,2.2,1.0,2.0,1.0,1.09,0.16380000000000008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,6.31,0.9660000000000002,7.0,0.0,14.0,14.0,1.2600000000000002,2.2932000000000006,0.0,6.0,20.0,14.0,8.66,2.0412000000000003,8.0,0.0,1.0,1.0,0.91,0.1638,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,3.69,0.966,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,4.6,0.8399999999999999,4.0,13.51,16.05,2.540000000000001,14.1964,0.9609600000000005,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,204.5,14.700000000000001,194.0
594,0.0,0.0,0.0,0.0,0.0,0.0,0.030000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,Hf0.03 Mn0.27 Ru0.7,25.0,72.0,47.0,39.71,7.9434000000000005,44.0,45.0,56.0,11.0,54.59,1.9739999999999989,56.0,54.938045,178.49,123.551955,90.93697215,19.439420660999996,101.07,1519.0,2607.0,1088.0,2310.21,427.25340000000006,2607.0,4.0,8.0,4.0,7.61,0.5459999999999998,8.0,4.0,6.0,2.0,4.76,0.41040000000000015,5.0,139.0,175.0,36.0,144.98,3.2292000000000054,146.0,1.3,2.2,0.9000000000000001,1.9975,0.2835000000000001,2.2,1.0,2.0,1.0,1.3000000000000003,0.42000000000000015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,6.31,0.9660000000000003,7.0,0.0,14.0,14.0,0.4200000000000001,0.8148000000000002,0.0,7.0,18.0,11.0,8.030000000000001,0.5982000000000012,8.0,0.0,1.0,1.0,0.7,0.42000000000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,3.69,0.9660000000000002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,4.390000000000001,0.5460000000000003,4.0,10.4875862069,22.2,11.7124137931,12.954648275863,1.3322135172400198,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.000310120689655,8.373258620685002e-05,0.00012224957586200102,0.0,194.0,217.0,23.0,200.21,9.066600000000005,194.0
2190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030000000000000006,0.0,0.0,0.0,0.2700000000000001,0.0,0.0,0.0,0.0,0.7,Pb0.03 Ni0.27 Ru0.7,28.0,82.0,54.0,40.82,6.9228000000000005,44.0,56.0,81.0,25.0,58.1,2.9400000000000004,56.0,58.6934,207.2,148.5066,92.812218,18.424161719999997,101.07,600.61,2607.0,2006.3899999999999,2309.4782999999998,416.53038000000015,2607.0,8.0,14.0,6.0,8.72,1.0080000000000005,8.0,4.0,6.0,2.0,4.76,0.41040000000000015,5.0,124.0,146.0,22.0,140.06,8.6724,146.0,1.91,2.33,0.42000000000000015,2.1256000000000004,0.11642399999999997,2.2,1.0,2.0,1.0,1.3000000000000003,0.42000000000000015,1.0,0.0,2.0,2.0,0.06000000000000001,0.11640000000000003,0.0,7.0,10.0,3.0,7.36,0.5040000000000002,7.0,0.0,14.0,14.0,0.4200000000000001,0.8148000000000002,0.0,8.0,28.0,20.0,9.14,1.5960000000000005,8.0,0.0,1.0,1.0,0.7,0.42000000000000004,1.0,0.0,4.0,4.0,0.12000000000000002,0.23280000000000006,0.0,0.0,3.0,3.0,2.6399999999999997,0.5040000000000002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.46,0.7884000000000001,4.0,10.32,28.11,17.79,13.0867,1.494018,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.16075656900000007,0.23470459074000008,0.0,194.0,225.0,31.0,203.3,13.020000000000007,194.0
1806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.2700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,Rh0.03 Sn0.27 Ru0.7,44.0,50.0,6.0,45.65,2.3489999999999998,44.0,56.0,80.0,24.0,62.57,9.412200000000002,56.0,101.07,118.71,17.64,105.887865,6.923952900000006,101.07,505.08,2607.0,2101.92,2028.3816,822.5828640000002,2607.0,8.0,14.0,6.0,9.650000000000002,2.349000000000001,8.0,5.0,5.0,0.0,5.0,0.0,5.0,139.0,146.0,7.0,143.99,2.8139999999999965,146.0,1.96,2.28,0.31999999999999984,2.1376,0.09590400000000017,2.2,1.0,2.0,1.0,1.27,0.39420000000000005,1.0,0.0,2.0,2.0,0.5400000000000001,0.7884000000000002,0.0,7.0,10.0,3.0,7.84,1.1760000000000002,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,6.0,9.650000000000002,2.349000000000001,8.0,0.0,1.0,1.0,0.73,0.39420000000000005,1.0,0.0,4.0,4.0,1.0800000000000003,1.5768000000000004,0.0,0.0,3.0,3.0,2.1599999999999997,1.1760000000000002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,3.97,0.05819999999999982,4.0,13.51,33.285,19.775,18.85315,7.7931989999999995,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,225.0,84.0,180.62,21.3948,194.0
