,original index in excel,y1,y2,y1_pred,y2_pred,y1_predVar,y2_predVar,iter
0,0,0.06592792,0.999999989,0.07794105332777417,1.024142303156807,0.10404142444457871,1.0316406105870526,0
1,1,0.089572162,1.625310156,0.0858860778223076,1.477835171355273,0.104335658342126,1.0317803819162148,0
2,2,0.053734605,0.414392055,0.07193736678326064,0.6212911195906725,0.10402529556700463,1.0324334581905672,0
3,3,0.091286553,1.62903224,0.08915154143121094,1.4959537394491946,0.1044153221587793,1.0317452543492454,0
4,4,0.054904735,0.934243166,0.06614845764309582,0.9975975114131143,0.10343326121682922,1.0351488745453346,0
5,5,0.049347531,1.258064502,0.06060074644314181,1.2017304186607451,0.10239281400591897,1.0386484482192209,0
6,6,0.054025488,1.167493784,0.06734101871633742,1.174781043596994,0.10340026463434841,1.0347543700959576,0
7,7,0.061391515,0.998759294,0.069296307639959,0.9999412742160239,0.10376365726939075,1.034422242799492,0
8,8,0.046146213,0.766749371,0.0628698164676714,0.8321954176752684,0.10298279396124613,1.0369390639581961,0
9,9,0.075051231,0.841191058,0.07431677741695289,0.8883494648593842,0.10399632488100834,1.0331189499593447,0
10,10,0.102362763,1.166253089,0.09579619643035364,1.135921477068983,0.10323107521472177,1.034514776453503,0
11,11,0.094017658,0.904466491,0.09487568116242094,0.9575040371295567,0.10197003225644012,1.0375544670994117,0
12,12,0.105047068,1.027295274,0.09631654091363244,1.0398099649726256,0.10319076062056984,1.0341816969475024,0
13,13,0.150090615,1.284367231,0.11692914564489551,1.2731427029864875,0.10263103412198855,1.0368336610598443,0
14,14,0.124896126,1.321960283,0.11402495316667607,1.2655448178731947,0.10095167299618246,1.0424588807005868,0
15,15,0.136674063,0.945781627,0.10935887853626357,1.0262925066640518,0.10175624429574703,1.0393029068542223,0
16,16,0.023407589,1.514888321,0.06506000104933352,1.4572697482722872,0.10160855400037942,1.043025477897803,0
17,17,0.086363531,1.435483855,0.0772950172314271,1.4291034302218826,0.09972414606674058,1.05348779068445,0
18,18,0.08492237,1.334987578,0.09173086866265008,1.3317144482458534,0.10077596597407609,1.0474993731988707,0
19,19,0.021,1.497518594,0.056575466975928836,1.4386358585489405,0.10167098495586296,1.0457080777419745,0
20,20,0.079101892,1.476426783,0.06670237117243917,1.4942129178221961,0.09976940445537415,1.057818485768668,0
21,21,0.08041635,1.617865987,0.08006525017376892,1.5208951766027816,0.1014345387749419,1.0454141748255823,0
22,22,0.094426473,1.143920583,0.09109442357299573,1.0742596205282118,0.101084128146381,1.0471166860558472,0
23,23,0.09623514,0.88337468,0.08932877608617554,1.0194919069340223,0.099194262424715,1.0620230725022053,0
24,24,0.077581138,1.155086836,0.08499736803988389,1.105820935798036,0.101007636550253,1.0466929801556197,0
25,25,0.067788799,0.067468982,0.06712015948148967,0.39239140844307063,0.10163517522118218,1.0457118761833921,0
26,26,0.046164057,0.926798997,0.06018011149841012,0.7507802757408203,0.09969005003086459,1.0594183790425309,0
27,27,0.038264998,1.004962768,0.05967557467016946,1.026235429447013,0.10130487917525086,1.0447754265551454,0
28,28,0.04277718,1.508684847,0.06450425303021275,1.4047277455211709,0.10395639346897075,1.0360526314560488,0
29,29,0.048582243,1.107940434,0.0654447853504959,1.1248228634348676,0.10306992027861728,1.040087665454166,0
30,30,0.032928076,1.071960286,0.060017578385655836,1.01427595453176,0.10336662787553738,1.0360892861856306,0
31,31,0.167309689,0.020099255,0.12080164309205431,0.2157106733516897,0.10305573649363316,1.041380338928865,0
32,32,0.097134604,0.279776672,0.09818294584887294,0.37744096460620613,0.10197908455960503,1.0496234715750443,0
33,33,0.079174354,0.970843662,0.08050996223559308,0.932281877680816,0.10313985298698673,1.039292017190889,0
34,34,0.146120315,0.062208436,0.1204324025390089,0.30680916327664765,0.10171725901248801,1.04703998287409,0
35,35,0.121622791,0.510918109,0.11492198186353378,0.5516896493546174,0.09981365471858022,1.0609152807797375,0
36,36,0.096338687,1.077543412,0.10103700231151609,0.9976303491656406,0.10172621028535368,1.0453777238204287,0
37,37,0.097699542,1.801488814,0.12831401305562956,1.68544282145528,0.10151645733313328,1.048115157510916,0
38,38,0.233340654,1.626302712,0.1403087963722155,1.5114141194786042,0.09965071965340377,1.063107612463955,0
39,39,0.107120311,0.960918104,0.12721589921746226,1.1400184580042203,0.10153320827131614,1.047105140681035,0
40,40,0.048364619,2.571960269,0.06842442424731009,2.2067334079331404,0.10241856502675423,1.0433017417336488,0
41,41,0.070247567,1.746898244,0.07506521319338379,1.8005231234982046,0.10071885687501037,1.0539775346395972,0
42,42,0.091532471,1.394540928,0.08525823724598038,1.3677566656753677,0.10236983346263127,1.0419924096671769,0
43,43,0.024325982,2.01364762,0.05027009000179822,1.939452412994759,0.10397909418898951,1.0345823165348689,0
44,44,0.02970469,2.73325059,0.04571292051739181,2.412271681868325,0.10334125006153891,1.0371853029725444,0
45,45,0.021487327,1.68362281,0.04861804915235674,1.6575289309784027,0.10410748094574378,1.033390505173938,0
46,46,0.058225517,1.070719591,0.07476767817314872,1.1043493971436864,0.10244759873835872,1.0388743878708921,0
47,47,0.056733947,0.978908178,0.07046294899343476,1.019594392507114,0.10100733293132923,1.0434612349818613,0
48,48,0.042544624,1.07568237,0.07300642425211021,1.0513794462238526,0.10161695877800797,1.0409611685502984,0
49,49,0.081377246,1.358560779,0.0807841709684798,1.2851384757848177,0.1016148254974545,1.0453977092629705,0
50,50,0.087347623,1.116625298,0.0858628686757428,1.1899841735840995,0.09974235962699562,1.0564569490008868,0
51,51,0.109780456,1.21339949,0.09282035635051195,1.1987390113723868,0.10083352304742225,1.0456842206941481,0
52,52,0.11266052,1.537220827,0.09837670995877659,1.3857439618000174,0.10044409459799443,1.053568338792697,0
53,53,0.091237671,1.10421835,0.09716136689634498,1.3764429736412307,0.09816660888235874,1.072111023939122,0
54,54,0.106273419,1.637717104,0.09396259580571036,1.4277348791919422,0.09894090673723774,1.0574978492321072,0
55,55,0.087920747,1.480148867,0.09071099557351359,1.4140590246658118,0.0980341881325502,1.0692514381245353,0
56,56,0.111223731,1.47940445,0.0882302057429859,1.370392458731664,0.09708830291670956,1.082084718095203,0
57,57,0.052057372,1.115384603,0.08515135281572912,1.287479197978124,0.09788268523886078,1.0670774431930208,0
58,58,0.091662324,1.012406937,0.08223170194255508,1.201407546538555,0.09820126995136187,1.0695165280719559,0
59,59,0.070159377,1.471464004,0.08062872894148566,1.2046263963232369,0.0975309418104587,1.0819692375968855,0
60,60,0.083231506,1.111662519,0.07915030292586923,1.194643641078172,0.09797490174751194,1.0691409039552173,0
61,61,0.132231206,1.256823807,0.12399805390144114,1.2394067022995097,0.10147047091005965,1.0456657896919888,0
62,62,0.152812482,1.277047132,0.12348501021849326,1.2913615237688538,0.09959017530127533,1.0587516886611277,0
