,W,Sm,Mo,Zr,Ca,V,Hf,Pd,Cr,La,Gd,Ir,Tb,Yb,Al,Eu,Zn,Dy,Nb,Lu,Ba,Co,Li,Cd,Ho,Ce,Rh,Sc,Y,Ti,Bi,Tm,Ag,Sn,Ga,Cu,Pt,Mn,Ta,Pb,Nd,Er,Pr,Ni,Re,In,Fe,Mg,Ru,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
1642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.9,Li0.01 Er0.09 Ru0.9,3.0,68.0,65.0,45.75,4.004999999999999,44.0,1.0,56.0,55.0,53.559999999999995,4.392000000000003,56.0,6.941,167.259,160.31799999999998,106.08572,11.0111904,101.07,453.69,2607.0,2153.31,2510.1369,174.35358000000002,2607.0,1.0,8.0,7.0,7.48,0.9359999999999996,8.0,2.0,6.0,4.0,5.06,0.16919999999999966,5.0,128.0,189.0,61.0,149.69,7.075799999999997,146.0,0.98,2.2,1.2200000000000002,2.1014000000000004,0.17747999999999986,2.2,1.0,2.0,1.0,1.09,0.16380000000000006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.3,1.26,7.0,0.0,12.0,12.0,1.0799999999999998,1.9655999999999998,0.0,1.0,14.0,13.0,8.47,0.9954000000000004,8.0,0.0,1.0,1.0,0.91,0.16379999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.7,0.5399999999999998,3.0,0.0,2.0,2.0,0.17999999999999997,0.32759999999999995,0.0,1.0,4.0,3.0,3.79,0.37799999999999995,4.0,13.51,30.585,17.075000000000003,15.077583333333,2.8216499999993996,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,194.35,0.6929999999999944,194.0
87,0.08999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.9,W0.09 Re0.01 Ru0.9,44.0,75.0,31.0,47.01,5.4179999999999975,44.0,51.0,56.0,5.0,55.53,0.845999999999999,56.0,101.07,186.207,85.137,109.37066999999999,14.941205999999998,101.07,2607.0,3695.0,1088.0,2713.44,191.59200000000004,2607.0,6.0,8.0,2.0,7.8100000000000005,0.3419999999999996,8.0,5.0,6.0,1.0,5.1,0.17999999999999972,5.0,146.0,162.0,16.0,147.49,2.682000000000007,146.0,1.9,2.36,0.45999999999999996,2.2114000000000003,0.026748000000000036,2.2,1.0,2.0,1.0,1.1,0.18000000000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,6.71,0.522,7.0,0.0,14.0,14.0,1.3999999999999997,2.5199999999999996,0.0,8.0,21.0,13.0,9.21,2.178000000000001,8.0,0.0,1.0,1.0,0.9,0.17999999999999997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,3.29,0.522,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,4.1899999999999995,0.3419999999999996,4.0,13.51,16.05,2.540000000000001,13.75005,0.4320900000000001,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,197.14999999999998,5.732999999999981,194.0
945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,Ir0.09 Li0.01 Ru0.9,3.0,77.0,74.0,46.56,5.479200000000001,44.0,1.0,60.0,59.0,55.809999999999995,1.0962000000000045,56.0,6.941,192.217,185.276,108.33193999999999,15.099310799999996,101.07,453.69,2739.0,2285.31,2597.3469,42.87313799999998,2607.0,1.0,9.0,8.0,8.02,0.17639999999999964,8.0,2.0,6.0,4.0,5.06,0.16919999999999966,5.0,128.0,146.0,18.0,145.37,1.1339999999999963,146.0,0.98,2.2,1.2200000000000002,2.1878,0.02415599999999999,2.2,1.0,2.0,1.0,1.09,0.16380000000000006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.93,0.13860000000000028,7.0,0.0,14.0,14.0,1.2599999999999998,2.2931999999999997,0.0,1.0,23.0,22.0,9.28,2.4695999999999994,8.0,0.0,1.0,1.0,0.91,0.16379999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.97,0.0593999999999998,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.88,0.21600000000000008,4.0,13.51,16.5933333333,3.083333333299999,13.603833333333,0.16889999999940036,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,197.14,5.651999999999989,194.0
71,0.08999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,W0.09 Pt0.01 Ru0.9,44.0,78.0,34.0,47.04,5.4719999999999995,44.0,51.0,63.0,12.0,55.62,0.831600000000002,56.0,101.07,195.084,94.01400000000001,109.45943999999999,15.100991999999994,101.07,2041.4,3695.0,1653.6,2699.264,179.23248000000007,2607.0,6.0,10.0,4.0,7.84,0.33120000000000005,8.0,5.0,6.0,1.0,5.1,0.17999999999999972,5.0,136.0,162.0,26.0,147.34,2.6388000000000025,146.0,2.2,2.36,0.1599999999999997,2.2152000000000003,0.02736000000000005,2.2,1.0,2.0,1.0,1.09,0.16380000000000006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,5.0,6.75,0.495,7.0,0.0,14.0,14.0,1.3999999999999997,2.5199999999999996,0.0,8.0,24.0,16.0,9.24,2.232,8.0,0.0,1.0,1.0,0.91,0.16379999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.25,0.495,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.16,0.33120000000000005,4.0,13.51,16.05,2.540000000000001,13.7537,0.4386600000000004,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,197.45999999999998,6.227999999999984,194.0
3854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07999999999999999,0.0,0.0,0.0,0.9,Co0.02 Re0.08 Ru0.9,27.0,75.0,48.0,46.14,4.6176,44.0,54.0,58.0,4.0,55.879999999999995,0.3008000000000038,56.0,58.933195,186.207,127.273805,107.03822389999999,12.667004175999997,101.07,1768.0,3459.0,1691.0,2658.38,128.09920000000008,2607.0,7.0,9.0,2.0,7.94,0.15039999999999967,8.0,4.0,6.0,2.0,5.06,0.15039999999999967,5.0,126.0,151.0,25.0,146.0,0.7999999999999998,146.0,1.88,2.2,0.3200000000000003,2.1696,0.054720000000000185,2.2,1.0,2.0,1.0,1.1,0.18000000000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,6.84,0.2944000000000001,7.0,0.0,14.0,14.0,1.1199999999999999,2.0608,0.0,8.0,21.0,13.0,9.06,1.9104000000000003,8.0,0.0,1.0,1.0,0.9,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,3.16,0.2944000000000001,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.06,0.15039999999999967,4.0,10.245,14.655,4.41,13.5363,0.1789920000000007,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.030969423999999995,0.060700071039999984,0.0,194.0,194.0,0.0,194.0,0.0,194.0
3185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07999999999999999,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,Ir0.08 Al0.02 Ru0.9,13.0,77.0,64.0,46.02,4.956800000000002,44.0,56.0,73.0,17.0,56.66,1.1879999999999973,56.0,26.9815386,192.217,165.23546140000002,106.879990772,13.653921476480004,101.07,933.47,2739.0,1805.53,2584.0894000000003,66.0247759999997,2607.0,8.0,13.0,5.0,8.18,0.32399999999999973,8.0,3.0,6.0,3.0,5.04,0.15360000000000001,5.0,121.0,146.0,25.0,145.1,1.6200000000000045,146.0,1.61,2.2,0.5900000000000001,2.1882,0.02312800000000003,2.2,1.0,2.0,1.0,1.1,0.18000000000000005,1.0,0.0,1.0,1.0,0.019999999999999997,0.0392,0.0,0.0,7.0,7.0,6.859999999999999,0.27440000000000053,7.0,0.0,14.0,14.0,1.1199999999999999,2.0608,0.0,3.0,23.0,20.0,9.1,2.2239999999999993,8.0,0.0,1.0,1.0,0.9,0.18,1.0,0.0,5.0,5.0,0.09999999999999998,0.19599999999999995,0.0,0.0,3.0,3.0,2.94,0.11760000000000004,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,3.94,0.15040000000000003,4.0,13.51,16.48,2.9700000000000006,13.6254,0.20772000000000093,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,197.1,5.579999999999995,194.0
57,0.08999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,W0.09 Ti0.01 Ru0.9,22.0,74.0,52.0,46.48,4.953599999999997,44.0,43.0,56.0,13.0,55.419999999999995,1.0440000000000043,56.0,47.867,183.84,135.973,107.98727,13.6534914,101.07,1941.0,3695.0,1754.0,2698.26,179.4132000000002,2607.0,4.0,8.0,4.0,7.78,0.3959999999999998,8.0,4.0,6.0,2.0,5.08,0.16560000000000002,5.0,146.0,162.0,16.0,147.58,2.84400000000001,146.0,1.54,2.36,0.8199999999999998,2.2078,0.027395999999999993,2.2,1.0,2.0,1.0,1.1,0.18000000000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,6.68,0.5760000000000002,7.0,0.0,14.0,14.0,1.2599999999999998,2.2931999999999997,0.0,4.0,20.0,16.0,9.04,1.9727999999999992,8.0,0.0,1.0,1.0,0.9,0.17999999999999997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,3.3200000000000003,0.5760000000000002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,4.22,0.3959999999999998,4.0,13.51,16.69,3.1800000000000015,13.7704,0.4687200000000006,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,2.2533333333299998e-07,4.461599999993399e-07,0.0,194.0,229.0,35.0,197.14999999999998,5.732999999999981,194.0
